rating,product_type,upc,title
Two,Books,a22124811bfa8350,It's Only the Himalayas
One,Books,e30f54cea9b38190,Mesaerion: The Best Science Fiction Stories 1800-1849
Two,Books,a18a4f574854aced,Libertarianism for Beginners
One,Books,feb7cc7701ecf901,Olio
Five,Books,a34ba96d4081e6a4,Rip it Up and Start Again
Three,Books,deda3e61b9514b83,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
Five,Books,3b1c02bac2a429e6,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
Four,Books,30a7f60cd76ca58c,Shakespeare's Sonnets
Five,Books,ce6396b0f23f6ecc,Set Me Free
Two,Books,0312262ecafa5a40,"Starving Hearts (Triangular Trade Trilogy, #1)"
Four,Books,e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
One,Books,1dfe412b8ac00530,The Black Maria
Three,Books,e72a5dfc7e9267b2,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
Four,Books,2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job
One,Books,f77dbf2323deb740,The Requiem Red
Five,Books,4165285e1663650f,Sapiens: A Brief History of Humankind
Four,Books,e00eb4fd7b871a48,Sharp Objects
One,Books,6957f44c3847a760,Soumission
One,Books,90fa61229261140a,Tipping the Velvet
Three,Books,a897fe39b1053632,A Light in the Attic
