subject_name,course_name,abs_course_url
Computer Science,Machine Learning,https://www.classcentral.com/course/coursera-machine-learning-835
Computer Science,Introduction to Computer Science and Programming Using Python,https://www.classcentral.com/course/edx-introduction-to-computer-science-and-programming-using-python-1341
Computer Science,Elements of AI,https://www.classcentral.com/course/independent-elements-of-ai-12469
Computer Science,CS50's Introduction to Computer Science,https://www.classcentral.com/course/edx-cs50-s-introduction-to-computer-science-442
Computer Science,Machine Learning for Musicians and Artists,https://www.classcentral.com/course/kadenze-machine-learning-for-musicians-and-artists-3768
Computer Science,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",https://www.classcentral.com/course/coursera-divide-and-conquer-sorting-and-searching-and-randomized-algorithms-374
Computer Science,Intro to Computer Science,https://www.classcentral.com/course/udacity-intro-to-computer-science-320
Computer Science,Functional Programming Principles in Scala,https://www.classcentral.com/course/coursera-functional-programming-principles-in-scala-422
Computer Science,Intro to Deep Learning,https://www.classcentral.com/course/udacity-intro-to-deep-learning-5681
Computer Science,How to Use Git and GitHub,https://www.classcentral.com/course/udacity-how-to-use-git-and-github-2661
Computer Science,"Algorithms, Part I",https://www.classcentral.com/course/coursera-algorithms-part-i-339
Computer Science,Functional Program Design in Scala,https://www.classcentral.com/course/coursera-functional-program-design-in-scala-1186
Computer Science,Creative Applications of Deep Learning with TensorFlow,https://www.classcentral.com/course/kadenze-creative-applications-of-deep-learning-with-tensorflow-6679
Computer Science,Introduction to Linux,https://www.classcentral.com/course/edx-introduction-to-linux-1857
Computer Science,Cryptography I,https://www.classcentral.com/course/coursera-cryptography-i-616
Computer Science,Principles of Computing (Part 1),https://www.classcentral.com/course/coursera-principles-of-computing-part-1-1724
Computer Science,CS188.1x: Artificial Intelligence,https://www.classcentral.com/course/edx-cs188-1x-artificial-intelligence-445
Computer Science,Software Security ,https://www.classcentral.com/course/coursera-software-security-1728
Computer Science,Fundamentos TIC para profesionales de negocios: Hardware,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-hardware-8086
Computer Science,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),https://www.classcentral.com/course/coursera-build-a-modern-computer-from-first-principles-from-nand-to-tetris-project-centered-course-3234
Computer Science,"Cloud Computing Concepts, Part 1",https://www.classcentral.com/course/coursera-cloud-computing-concepts-part-1-2717
Computer Science,Introduction to Artificial Intelligence,https://www.classcentral.com/course/udacity-introduction-to-artificial-intelligence-301
Computer Science,Machine Learning Foundations: A Case Study Approach,https://www.classcentral.com/course/coursera-machine-learning-foundations-a-case-study-approach-4352
Computer Science,Probabilistic Graphical Models 1: Representation,https://www.classcentral.com/course/coursera-probabilistic-graphical-models-1-representation-309
Computer Science,"Algorithms, Part II",https://www.classcentral.com/course/coursera-algorithms-part-ii-340
Computer Science,"Internet History, Technology, and Security",https://www.classcentral.com/course/coursera-internet-history-technology-and-security-335
Computer Science,Principles of Computing (Part 2),https://www.classcentral.com/course/coursera-principles-of-computing-part-2-3198
Computer Science,Automata Theory,https://www.classcentral.com/course/stanford-openedx-automata-theory-376
Computer Science,Web Security Fundamentals,https://www.classcentral.com/course/edx-web-security-fundamentals-8726
Computer Science,Neural Networks and Deep Learning,https://www.classcentral.com/course/coursera-neural-networks-and-deep-learning-9058
Computer Science,Algorithmic Thinking (Part 1),https://www.classcentral.com/course/coursera-algorithmic-thinking-part-1-1725
Computer Science,Text Retrieval and Search Engines,https://www.classcentral.com/course/coursera-text-retrieval-and-search-engines-2734
Computer Science,Intro to Machine Learning,https://www.classcentral.com/course/udacity-intro-to-machine-learning-2996
Computer Science,Machine Learning With Big Data,https://www.classcentral.com/course/coursera-machine-learning-with-big-data-4238
Computer Science,Julia Scientific Programming,https://www.classcentral.com/course/coursera-julia-scientific-programming-7092
Computer Science,Introduction to Cyber Security,https://www.classcentral.com/course/futurelearn-introduction-to-cyber-security-2448
Computer Science,Computer Science 101,https://www.classcentral.com/course/stanford-openedx-computer-science-101-2175
Computer Science,The Nature of Code,https://www.classcentral.com/course/kadenze-the-nature-of-code-3777
Computer Science,The Arduino Platform and C Programming,https://www.classcentral.com/course/coursera-the-arduino-platform-and-c-programming-4206
Computer Science,Introduction to the Internet of Things and Embedded Systems,https://www.classcentral.com/course/coursera-introduction-to-the-internet-of-things-and-embedded-systems-4338
Computer Science,Hardware Security,https://www.classcentral.com/course/coursera-hardware-security-1729
Computer Science,Machine Learning for Trading,https://www.classcentral.com/course/udacity-machine-learning-for-trading-1026
Computer Science,Fundamentos TIC para profesionales de negocios: Desarrollo de Software,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-desarrollo-de-software-8495
Computer Science,Machine Learning for Data Science and Analytics,https://www.classcentral.com/course/edx-machine-learning-for-data-science-and-analytics-4912
Computer Science,Introduction to Software Product Management,https://www.classcentral.com/course/coursera-introduction-to-software-product-management-4196
Computer Science,Cybersecurity Fundamentals,https://www.classcentral.com/course/edx-cybersecurity-fundamentals-7844
Computer Science,Algorithmic Thinking (Part 2),https://www.classcentral.com/course/coursera-algorithmic-thinking-part-2-3200
Computer Science,Usable Security,https://www.classcentral.com/course/coursera-usable-security-1727
Computer Science,Design of Computer Programs,https://www.classcentral.com/course/udacity-design-of-computer-programs-323
Computer Science,Cybersecurity and Its Ten Domains,https://www.classcentral.com/course/coursera-cybersecurity-and-its-ten-domains-3206
Computer Science,Software Processes and Agile Practices,https://www.classcentral.com/course/coursera-software-processes-and-agile-practices-4187
Computer Science,Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital,https://www.classcentral.com/course/coursera-image-and-video-processing-from-mars-to-hollywood-with-a-stop-at-the-hospital-462
Computer Science,Discrete Optimization,https://www.classcentral.com/course/coursera-discrete-optimization-487
Computer Science,Introduction to Computer Networking,https://www.classcentral.com/course/stanford-openedx-introduction-to-computer-networking-1578
Computer Science,Practical Machine Learning,https://www.classcentral.com/course/coursera-practical-machine-learning-1719
Computer Science,Learning from Data (Introductory Machine Learning course),https://www.classcentral.com/course/independent-learning-from-data-introductory-machine-learning-course-366
Computer Science,How to Code: Simple Data,https://www.classcentral.com/course/edx-how-to-code-simple-data-3465
Computer Science,Computational Neuroscience,https://www.classcentral.com/course/coursera-computational-neuroscience-449
Computer Science,Reinforcement Learning,https://www.classcentral.com/course/udacity-reinforcement-learning-1849
Computer Science,"Practical Deep Learning For Coders, Part 1",https://www.classcentral.com/course/independent-practical-deep-learning-for-coders-part-1-7887
Computer Science,Fundamentos TIC para profesionales de negocios: Aplicaciones empresariales,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-aplicaciones-empresariales-7475
Computer Science,Biometric Technologies: Identification for the Future (January 2019),https://www.classcentral.com/course/canvas-network-biometric-technologies-identification-for-the-future-january-2019-4037
Computer Science,Algorithmic Toolbox,https://www.classcentral.com/course/coursera-algorithmic-toolbox-5471
Computer Science,Artificial Intelligence (AI),https://www.classcentral.com/course/edx-artificial-intelligence-ai-7230
Computer Science,Machine Learning,https://www.classcentral.com/course/edx-machine-learning-7231
Computer Science,Regression Modeling in Practice,https://www.classcentral.com/course/coursera-regression-modeling-in-practice-4351
Computer Science,Software Architecture for the Internet of Things,https://www.classcentral.com/course/coursera-software-architecture-for-the-internet-of-things-6507
Computer Science,"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Administrative/IT Perspective)",https://www.classcentral.com/course/coursera-hi-five-health-informatics-for-innovation-value-enrichment-administrative-it-perspective-8099
Computer Science,The Raspberry Pi Platform and Python Programming for the Raspberry Pi,https://www.classcentral.com/course/coursera-the-raspberry-pi-platform-and-python-programming-for-the-raspberry-pi-4334
Computer Science,Introduction to Recommender Systems:  Non-Personalized and Content-Based,https://www.classcentral.com/course/coursera-introduction-to-recommender-systems-non-personalized-and-content-based-6889
