date,link,text,compensation,type,address
2019-08-08 16:49,https://newyork.craigslist.org/que/egr/d/construction-project-manager-estimator/6952502629.html,Construction Project Manager / Estimator,Based on experience,full-time,"
        ,
Job Description: ,
,
We are looking for a Project Manager/Estimator available to directly work for Construction General Contractor's Office. We specialize in Commercial and Residential Renovations. ,
,
The Position: Daily Job Duties include: ,
,
Construction Contract Administration & negotiations with valued subcontractors for buyout. ,
Preparing and ensuring Construction Schedule is met from Permit through signed Punch list.,
Close and Warranty work when applicable. ,
Direct support and involvement in the Estimating / Quantity Take-off and the Request For Proposal Process including obtaining and Qualifying rec'd proposals is also part of the job.,
,
This Project Manager position will require Daily Job Awareness, juggling multiple priorities, organized interaction with the Field representatives and Professional updates with our Special and often Demanding Customers in a very fast paced environment. ,
,
Personal Characteristics:,
Develops, maintains and fosters a positive ""can-do"" attitude concerning the job and our company with both customers and fellow employees,
Initiates and promotes teamwork concepts.,
Develops, improves and maintains communication skills with others.,
Develops and understands systems of priorities and time management. ,
Utilizes time appropriately.,
Develops and initiates improvements to company business methods and practices.,
Ability to stay calm during busy hard working stressful periods,
For consideration, please send resume of Project Management Experience specifically regarding detailed Commercial Construction, Scheduling and Estimating abilities to us for review and consideration.,
,
,
*We are an Equal Opportunity Employer,
,
Job Requirements,
Skills & Abilities:,
Knowledge of Project Management, estimating and Construction Management software (Timberline, On-Screen Take-Off),
Detailed Take-off organization, accuracy and consistency,
Knowledge of Labor output and Labor rates and how they vary by job and location.,
Knowledge of material costs and variations caused by time constraints,
Understand specific and industry-related construction specifications,
Ability to cost and price non-standard construction details,
Develop and understand job specific comprehensive Scopes of Work to Schedule accordingly,
Ability to foster and promote customer relationships.,
Strong Letter Writing skill set,
Innovative Problem Solving,
Excellent Follow Up Skills,
,
Qualifications:,
Bachelor's Degree (or equivalent) for Construction Science or related field of study,
Working knowledge of Microsoft Office products; specifically Outlook, Word and Excel,
Proficiency with reading construction plans, specifications and vendor product data information,
Familiarity with construction project delivery methods and practices    "
2019-08-05 17:17,https://newyork.craigslist.org/mnh/egr/d/new-york-city-energy-engineer/6950264745.html,Energy Engineer,"110,000 to 140,000",full-time,"
        ,
The Energy Engineer - Energy Practice is responsible for the quality, integrity, and profitability of a subset of the larger Energy Practice at our firm. As the direct supervisor to a subset of engineering & project management staff at our company, the Energy Engineer- Energy Practice plays a critical role in managing day-to-day operations of a subset of the Energy Practice while also contributing to the general strategic direction of the Practice.,
,
,
Management Responsibilities,
,
Direct supervisor to a subset of engineers & project managers (6-8) within the Energy Practice,
,
Project/staff resourcing – utilize existing tools to monitor and track total project load relative to staff resources, develop and contribute to new tools as necessary,
,
Support in new hiring decisions and candidate interviews,
,
Responsible for on-boarding of engineers & project managers and oversight of continuing professional development,
,
Help to inform & refine pricing methodologies for engineering & energy management services and proposals,
,
Serve as arbiter for internal staff conflicts or resourcing issues,
,
Represent our firm as a thoughtful  leader in energy efficiency industry,
,
Responsible for disseminating the Energy Practice ethos to staff,
,
Management of staff time-tracking, employee analysis & consistent feedback,
,
Responsible for Objective and Goal setting for all engineers, conduct performance reviews,
,
Oversee and contribute to Engineering & Energy Management-related product development,
,
Interface with clients to support business development and client satisfaction,
,
,
,
Requisite Experience,
,
• Bachelor’s Degree in related Engineering field, preferably Mechanical or Electrical, or related field,
,
• 5+ years of direct management experience of technical staff,
,
• 6+ years of energy engineering experience (including energy auditing, retro-commissioning, ongoing commissioning, and/or new commissioning projects) with direct experience managing multiple projects concurrently,
,
• Advanced quantitative skills, with strong knowledge of Microsoft Excel,
,
Full Benefits, Salary, Vacation, Bonuses, Flexible Schedule,
    "
2019-08-06 02:30,https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-designers/6950522441.html,Mechanical Designers,Above Market,full-time,"
        ,
Mechanical Designers are sought to join an ambitious, well-funded interdisciplinary research group based in New York City.  These hires will work on the mechanical design and construction of new generations of our custom-built ANTON® supercomputer, collaborating with our team on all phases of system development, from concept to delivery.  This is a limited-term position with an anticipated 12-month contract.,
,
Successful candidates will have expertise in sheet metal and machined part design, including hands-on prototyping and testing of chassis and enclosures, and modeling and drafting in SolidWorks and/or PTC Creo (Pro/Engineer).  They should have a demonstrated ability to design complex, rack-based electronic packaging systems with integrated power and cooling.  Other relevant experience might include plastics design and injection molding, creating assembly drawings, and resolution of DFM/DFA issues.  Excellent analytical and communication skills are required.,
,
We take great pride in the caliber of our team, and we offer above-market compensation to candidates of exceptional ability.,
,
Our research effort is aimed at achieving major scientific advances in the field of biochemistry and fundamentally transforming the process of drug discovery.,
,
To submit an application, please use the link provided below:,
,
,
D. E. Shaw Research is a New York-based interdisciplinary research group pursuing an ambitious, long-term project aimed at achieving major scientific advances in the fields of biochemistry and molecular biology.  Among the group's current activities is the development of specialized supercomputers designed in part to fundamentally transform the process of drug discovery.,
,
D. E. Shaw Research is an equal opportunity employer, dedicated to the goal of building a diverse workforce. We welcome inquiries from all exceptionally well-qualified applicants, regardless of race, color, nationality, national or ethnic origin, religion or religious belief, caste, gender, gender identity, pregnancy, caregiver status, age, military service eligibility, veteran status, sexual orientation, marital or civil partner status, disability, or status in any other category protected in this regard by law in any jurisdiction in which the Firm operates.,
    "
2019-08-05 15:33,https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-interior-designer/6950172567.html,Senior Interior Designer/Project Manager - Home Studios,COMPETITIVE SALARY/MEDICAL/DENTAL/VISION,full-time,"
        ,
Home Studios (homestudios.nyc) is currently hiring a Senior Interior Designer/Project Manager to work with our design team. Home Studios is an interior design studio focusing primarily on hospitality projects. As a studio, we are inspired by detail, materials, history, and building processes. We are a young firm that is quickly growing so opportunities are vast for the right applicant. Applicants must be passionate and collaboratively-inclined.,
,
SCOPE OF WORK:,
,
-MANAGE LARGE SCALE PROJECTS ,
-PROJECT POINT OF CONTACT FOR SELECT PROJECTS,
-CREATE DESIGN WITH DESIGN DIRECTOR,
-OVERSEE DESIGN TEAM, SET AND MAINTAIN WEEKLY PROJECT GOALS WITH DESIGNERS,
-INITIAL APPROVAL ON ALL DELIVERABLES FOR SELECT PROJECTS,
-SET AND MAINTAIN WEEKLY PROJECT GOALS WITH DESIGN DIRECTOR,
-COORDINATION WITH ARCHITECT AND CONTRACTOR,
-CREATE SCHEMATIC PLANS, MODEL, ID SET AND CUSTOM DRAWINGS,
-DESIGN ITERATION FOR APPROVAL OF DESIGN DIRECTOR,
-BUILD SCHEDULE WITH PROJECT MANAGER,
-DIGITAL MATERIAL INPUT FOR RENDERINGS,
-DESIGN PROCESSES, PROCEDURES, AND DELIVERABLES,
-CONSTRUCTION ADMINISTRATION,
,
,
Requirements: ,
4-6 years of relevant experience ,
Highly motivated and passionate about design and/or architecture ,
ARCHITECTURE OR INTERIOR ARCHITECTURE BACKGROUND PREFERRED ,
Extremely organized and detail oriented ,
Problem solver ,
Team player and enjoy working collaboratively ,
Have construction knowledge or enthusiasm for learning about construction and building methods,
,
Software requirements (highly proficient): AutoCad, Sketchup, Adobe Creative Suite, Google Docs (Sheets),
,
Please send the following to careers@homestudios.nyc:,
Short paragraph on your background, interests, and goals,
Resume - attachments only,
Portfolio - attachments only,
Instagram/blog,
3 Professional references,
Who is your favorite designer and why?,
,
NOTE: International candidates must hold a valid US working permit.,
    "
2019-08-06 05:41,https://newyork.craigslist.org/brk/egr/d/brooklyn-administrator-assistant/6950541297.html,Administrator/ Assistant Project Manager and Office Manager,Submit salary requirements,employee's choice,"
        ,
Administrator/ Assistant Project Manager and Office Manager,
,
,
Small general contracting company looking for a versatile worker to help with office management and assistant project management. Experience maintaining a small office is preferred, but a willingness to learn new skills related to the business is crucial. We are seeking someone with excellent verbal and written communication skills who can easily communicate messages to coworkers and is confident using professional front-facing language when speaking with clients. Applicants should have a working knowledge of Adobe Acrobat Pro, Microsoft Word and Excel, Microsoft Outlook, and QuickBooks for minor bookkeeping.,
,
During busy periods we will need extra support in project management, and an ideal candidate can follow through with tasks from start to finish.,
,
Please include salary requested,
Notary Public a plus but not mandatory,
,
,
,
    "
2019-08-05 10:38,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-field/6949885047.html,Architect - Field Representative,Salary is commisurate with Experience,full-time,"
        ,
Architect Field Representative required for NYC SCA projects in five boroughs of NYC. Projects include Exterior Modernization and Interior upgrade of existing School buildings. Work will include attending bi-weekly construction meetings with Owner and contractor, observing job progress, addressing Field issues, documenting filed conditions if any, writing Meeting Minutes. Office work will include assisting in review of shop drawings, drawing work if necessary to address field conditions, and responding to Field issues in coordination with Office staff and Principals.,
Candidate must have an accredited Architectural Education, a minimum of 5 years of experience and experience with SCA projects preferred. Candidate must have the ability to fully understand/analyze Contract drawings, specifications and shop drawings and communicate fluently with Owner and Contractor    "
2019-08-05 12:55,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6950017014.html,Draftsperson Detailer,tbd,full-time,"
        ,
Store/events Display props and wood cabinetry manufacturing company seeking motivated and responsible individual to fill the position of Draftsperson Detailer. Must be experienced with the process of producing client drawings and production drawings.,
,
,
Must be experienced and proficient in 3D rendering.,
,
Experience in creating CNC files required. ,
,
,
Must also be skilled with drafting decorative patterns, intricate millwork,
and heavily sculpted three dimensional elements for production. ,
,
,
,
Candidate must be familiar with materials such as solid wood, plywood,,
plastic, metal fabrication and veneer work. ,
,
,
Must submit portfolio with application, no candidate without portfolio will be considered!,
,
,
,
Hours are Monday through Friday 8:30 AM - 5:30 PM and must be available for overtime, working until 8:30 PM and weekends at times.,
•	Principals only. Recruiters, please don't contact this job poster.,
•	do NOT contact us with unsolicited services or offers,
,
,
,
    "
2019-08-05 10:21,https://newyork.craigslist.org/mnh/egr/d/new-york-city-top-expediting-firm/6949870518.html,Top Expediting Firm- Immediate Full time Openings- Excellent Benefits,DOE,full-time,"
        ,
Top Expediting Firm- Immediate Full time Openings- Excellent Benefits (Midtown West),
,
Outsource is the leading provider of Building Code and Zoning Consultation, offering a broad scope of services that includes Approvals, Permit Expediting, and Sign Offs. Outsource prides itself on unparalleled expert representation to architects, engineers, building owners, building managers, attorneys, and contractors. Our encyclopedic knowledge of the Municipal Building Codes and Zoning Laws that regulate construction enables us to navigate projects efficiently and quickly through the application, approval, and sign off processes. The final result is the successful completion of all our projects and absolute customer satisfaction.,
,
We have immediate openings for the following: ,
,
•	Sign Off Coordinator,
•	Technical Project Manager,
•	Accounting Clerk,
,
Awesome team-oriented work environment and company benefits package.,
,
Company Perks:,
,
- Paid vacation and personal days,
- Paid Holidays ,
- Health, Dental, Vision Insurance,
- 401K,
- Company funded HRA,
- Bonus opportunities,
,
- Chance to grow with a dynamic expediting firm who works with elite clients.,
,
,
This is a fast-paced position that demands an organized, diligent, and detail-oriented candidate.,
Successful candidates must be self-motivated (punctual), able to work well in an entrepreneurial environment and be a team player. Equal Opportunity Employer M/F/D/V,
,
Please apply on our careers page:,
,
,    "
2019-08-05 09:42,https://newyork.craigslist.org/mnh/egr/d/new-york-city-designer-sales-must-have/6949839443.html,Designer + Sales - Must have experience with 20/20,Salary & commission,full-time,"
        ,
We are a Kitchen & Bathroom design company with a friendly atmosphere, featuring top national brands and an award-winning designer showroom. We consistently provide the best design and service in the kitchen & Bathroom business, and are currently seeking an experienced individual to join our team of design professionals. ,
,
Responsibilities include: ,
Accurate translation of rough measures into working designs under tight deadlines ,
Assisting sales team with management of client accounts ,
Managing design process, from initial layout to final order ,
Maintaining a positive attitude and staying organized under pressure ,
,
The desired applicant will have: ,
Previous kitchen & Bathroom design experience, with portfolio examples ,
Must have experience working at a design/construction company specializing in bathroom and kitchen renovation ,
Must have experience with material selection,
Must have experience with 20/20, Knowledge of AutoCAD and similar interior design programs ,
,
Experience in resolving problems that arise on-site during installation ,
A detail-oriented, organized disposition ,
Excellent written and verbal communication skills ,
,
A minimum of 3 years in a related profession is required, as is knowledge of Microsoft programs and Windows. This is an immediate opening. ,
,
You may contact us via email. When applying please enter ""Kitchen & Bath Designer Position"" as the subject of the email and paste resume into body of email.,
,
We are looking to fill this position immediately. Only serious candidates need apply,
,
Thank you for your interest, and best of luck.,
    "
2019-08-05 09:11,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-engineer/6949818068.html,Project Engineer,Determined by experience,full-time,"
        ,
ERS is an energy engineering and consulting firm specializing in the assessment and implementation of energy efficiency, renewable energy, and sustainability programs. For over 20 years, ERS has been leading efforts to promote a healthy economy and environment by guiding business, industry, government, and utilities in the efficient use of resources and the advancement of sustainable practices throughout the US. ,
,
We are currently seeking Project Engineers for our offices in Connecticut, Maine, Massachusetts, and New York. Successful candidates will have knowledge of energy systems, energy efficiency, renewable energy, and sustainable practices for commercial and industrial facilities. Experience in efficiency program administration, project management, and measurement and verification of energy-related projects is highly desirable. ERS Project Engineers will be responsible for the following: ,
,
	Conducting and/or directing site surveys ,
	Overseeing the deployment of instrumentation such as power meters and data loggers to measure equipment energy performance,
	Performing engineering analyses of efficiency measures,
	Preparing comprehensive reports with detailed analytical findings,
	Providing technical assistance to facility owners and operators ,
	Conducting technical review and assessment of energy-related projects,
	Conducting customer education and outreach on behalf of our utility clients,
	Supporting energy efficiency program efforts including design, development, and delivery services,
,
Candidates must have excellent communication, writing, and computer skills and be able to work closely with customers, vendors, and efficiency program administrators. A bachelor's degree in Mechanical Engineering, Energy Engineering, or related field is required; certification as an Engineer-in-Training or CEM, or a master’s/advanced degree, is preferred. ,
,
ERS offers a competitive salary commensurate with experience and background, a comprehensive benefits package, and an excellent opportunity for growth. Our company is committed to making a positive contribution to society, and we provide a hardworking yet casual work environment that encourages individual initiative. Learn more about ERS at www.ers-inc.com.,
,
To be considered for the position of Project Engineer, please email your resume to recruiting@ers-inc.com. Include a cover letter explaining your interest in working for ERS in the field of energy engineering. Please include the ERS location(s) you are applying for.,
,
ERS is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy, sexual orientation, and gender identity), national origin, citizenship, disability, protected veteran status, or any other protected class. In addition to federal law requirements, ERS complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. ERS expressly prohibits any form of workplace harassment based on any protected class.,
    "
