brand,title,price,shipping
Apple,MACBOOK PRO 15  RETINA 256GB,5152.44,$34.99 Shipping
Apple,Apple MacBook 12'' Display Intel Core M3 1.20 GHz 8 GB Memory 256 GB PCIe SSD Intel HD Graphics 615  Mac OS X v10.12 Sierra(MNYF2LL/A),1578.64,$57.95 Shipping
Apple,Refurbished: Apple Grade A Laptop MacBook Air (Early 2014) A1465 Intel Core i7 4th Gen 4650U (1.70 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 5000 13.3" Mac OS X v10.12 Sierra,1049.99,Free Shipping
Apple,Apple Laptop MacBook Air (Mid 2017) MQD32LL/A Intel Core i5 5th Gen 5350U (1.80 GHz) 8 GB Memory 128 GB SSD Intel HD Graphics 6000 13.3" Mac OS X v10.12 Sierra,1415.92,$73.93 Shipping
Apple,Apple - MacBook Air - 13.3" Retina Display - Intel Core i5-8210Y 8GB Memory - 128GB PCIe SSD - GOLD laptop - MREE2LL/A,1458.19,Free Shipping
Apple,Refurbished: Apple Grade B Laptop MacBook Air A1466 Intel Core i7 5th Gen 5650U (2.20 GHz) 8 GB Memory 250 GB SSD Intel HD Graphics 6000 13.3" Mac OS X v10.12 Sierra,709.99,$9.99 Shipping
Apple,Refurbished: Apple Grade B Laptop MacBook Air A1466 Intel Core i7 4th Gen 4650U (1.70 GHz) 8 GB Memory 250 GB SSD Intel HD Graphics 5000 13.3" Mac OS X v10.12 Sierra,499.99,$9.99 Shipping
Apple,Refurbished: Apple Grade A Laptop MacBook Air MD845LL/AU-A Intel Core i7 2.20 GHz 8 GB Memory 256 GB SSD 11.6" Mac OS X v10.10 Yosemite,779.99,Free Shipping
Apple,Refurbished: Apple MacBook Air MJVM2LL/A 11.6" Laptop 1.6 GHz Intel Core i5 4 GB Memory 128 GB Flash Storage (Early 2015),757.62,$180.00 Shipping
Apple,Apple Laptop MacBook MNYG2LL/A Intel Core i5 1.30 GHz 8 GB Memory 512 GB PCIe SSD Intel HD Graphics 615 12.0" Mac OS X v10.12 Sierra,2043.77,Free Shipping
