source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter for iPhone,947614110082043904,"HAPPY NEW YEAR! We are MAKING AMERICA GREAT AGAIN, and much faster than anyone thought possible!",Sun Dec 31 23:43:04 +0000 2017,35394,,156032,False
Twitter for iPhone,947592785519173637,"As our Country rapidly grows stronger and smarter, I want to wish all of my friends, supporters, enemies, haters, and even the very dishonest Fake News Media, a Happy and Healthy New Year. 2018 will be a great year for America!",Sun Dec 31 22:18:20 +0000 2017,39698,,158995,False
Twitter for iPhone,947588263103139841,"Iran, the Number One State of Sponsored Terror with numerous violations of Human Rights occurring on an hourly basis, has now closed down the Internet so that peaceful demonstrators cannot communicate. Not good!",Sun Dec 31 22:00:21 +0000 2017,28128,,87677,False
Media Studio,947544600918372353,"What a year it’s been, and we're just getting started. Together, we are MAKING AMERICA GREAT AGAIN! Happy New Year!! https://t.co/qsMNyN1UJG",Sun Dec 31 19:06:52 +0000 2017,26633,,101162,False
Twitter for iPhone,947536951464333318,"My deepest condolences to the victims of the terrible shooting in Douglas County @DCSheriff, and their families. We love our police and law enforcement - God Bless them all! #LESM",Sun Dec 31 18:36:28 +0000 2017,17041,,76080,False
Twitter for iPhone,947461470924820480,"Why would smart voters want to put Democrats in Congress in 2018 Election when their policies will totally kill the great wealth created during the months since the Election. People are much better off now not to mention ISIS, VA, Judges, Strong Border, 2nd A, Tax Cuts &amp; more?",Sun Dec 31 13:36:32 +0000 2017,26035,,106236,False
Twitter for iPhone,947458942719979520,"If the Dems (Crooked Hillary) got elected, your stocks would be down 50% from values on Election Day. Now they have a great future - and just beginning! https://t.co/9TzSC8F8vY",Sun Dec 31 13:26:29 +0000 2017,14478,,63403,False
Twitter for iPhone,947453152806297600,Big protests in Iran. The people are finally getting wise as to how their money and wealth is being stolen and squandered on terrorism. Looks like they will not take it any longer. The USA is watching very closely for human rights violations!,Sun Dec 31 13:03:29 +0000 2017,30412,,108343,False
Twitter for iPhone,947328044821336070,“Trump Rally: Stocks put 2017 in the record books” https://t.co/0foQGaFjMh,Sun Dec 31 04:46:21 +0000 2017,13096,,58549,False
Twitter for iPhone,947236393184628741,"Jobs are kicking in and companies are coming back to the U.S. Unnecessary regulations and high taxes are being dramatically Cut, and it will only get better. MUCH MORE TO COME!",Sat Dec 30 22:42:09 +0000 2017,24332,,117013,False
